ds,forecast,item
2025-01-10,80.70445119236442,Алтей корни 75г
2025-01-11,77.39275814868641,Алтей корни 75г
2025-01-12,80.67905042160258,Алтей корни 75г
2025-01-13,77.4692827938123,Алтей корни 75г
2025-01-14,80.62576377759748,Алтей корни 75г
2025-01-15,77.61759145477656,Алтей корни 75г
2025-01-16,80.55948802144293,Алтей корни 75г
2025-01-17,77.68751139915513,Алтей корни 75г
2025-01-18,80.48928443977344,Алтей корни 75г
2025-01-19,77.75368921808152,Алтей корни 75г
2025-01-20,80.42845701780284,Алтей корни 75г
2025-01-21,77.81061823826857,Алтей корни 75г
2025-01-22,80.36676810586152,Алтей корни 75г
2025-01-23,77.87744297288306,Алтей корни 75г
2025-01-24,80.30687832854294,Алтей корни 75г
2025-01-25,77.93492723755855,Алтей корни 75г
2025-01-26,80.2503439763723,Алтей корни 75г
2025-01-27,77.98828348127846,Алтей корни 75г
2025-01-28,80.19674829322432,Алтей корни 75г
2025-01-29,78.0405118632252,Алтей корни 75г
2025-01-30,80.1457922660652,Алтей корни 75г
2025-01-31,78.09030789841434,Алтей корни 75г
2024-12-21,689.9015957804747,Боярышник плоды 75г
2024-12-22,492.2243678020852,Боярышник плоды 75г
2024-12-23,493.43753345677374,Боярышник плоды 75г
2024-12-24,517.8584794548,Боярышник плоды 75г
2024-12-25,541.9391822016395,Боярышник плоды 75г
2024-12-26,550.1342788063138,Боярышник плоды 75г
2024-12-27,552.8986840821706,Боярышник плоды 75г
2024-12-28,552.2143921184411,Боярышник плоды 75г
2024-12-29,553.3328356660161,Боярышник плоды 75г
2024-12-30,553.2084121938186,Боярышник плоды 75г
2024-12-31,551.6763151261113,Боярышник плоды 75г
2025-01-01,550.7044805072087,Боярышник плоды 75г
2025-01-02,552.3000580204173,Боярышник плоды 75г
2025-01-03,552.3111324037517,Боярышник плоды 75г
2025-01-04,552.4783696807167,Боярышник плоды 75г
2025-01-05,553.1052687934231,Боярышник плоды 75г
2025-01-06,552.3854625788005,Боярышник плоды 75г
2025-01-07,552.3579350844775,Боярышник плоды 75г
2025-01-08,552.3342781941591,Боярышник плоды 75г
2025-01-09,552.4977103529886,Боярышник плоды 75г
2025-01-10,552.3514328028555,Боярышник плоды 75г
2025-01-11,552.357766661845,Боярышник плоды 75г
2025-01-12,552.5522218598594,Боярышник плоды 75г
2025-01-13,552.6768685885746,Боярышник плоды 75г
2025-01-14,552.4666067253028,Боярышник плоды 75г
2025-01-15,552.464945053898,Боярышник плоды 75г
2025-01-16,552.4430000200692,Боярышник плоды 75г
2025-01-17,552.3607820068592,Боярышник плоды 75г
2025-01-18,552.45523218763,Боярышник плоды 75г
2025-01-19,552.4588513165982,Боярышник плоды 75г
2025-01-20,552.4619574837351,Боярышник плоды 75г
2025-01-21,552.4405171219125,Боярышник плоды 75г
2025-01-22,552.4597075542529,Боярышник плоды 75г
2025-01-23,552.4588765367462,Боярышник плоды 75г
2025-01-24,552.4333655702634,Боярышник плоды 75г
2025-01-25,552.417012925586,Боярышник плоды 75г
2025-01-26,552.4445975422275,Боярышник плоды 75г
2025-01-27,552.4448155381551,Боярышник плоды 75г
2025-01-28,552.4476945456595,Боярышник плоды 75г
2025-01-29,552.4584808716277,Боярышник плоды 75г
2025-01-30,552.4460897863779,Боярышник плоды 75г
2025-01-31,552.4456149865389,Боярышник плоды 75г
2024-12-21,732.0886761753347,Бессмертник песчаный цветки 30г
2024-12-22,607.7485798487407,Бессмертник песчаный цветки 30г
2024-12-23,587.1376075268258,Бессмертник песчаный цветки 30г
2024-12-24,520.1048477569657,Бессмертник песчаный цветки 30г
2024-12-25,624.9513207167604,Бессмертник песчаный цветки 30г
2024-12-26,620.7124509154712,Бессмертник песчаный цветки 30г
2024-12-27,619.3438496499538,Бессмертник песчаный цветки 30г
2024-12-28,600.6776549814215,Бессмертник песчаный цветки 30г
2024-12-29,600.2980240845532,Бессмертник песчаный цветки 30г
2024-12-30,611.8137174073103,Бессмертник песчаный цветки 30г
2024-12-31,524.6032462390435,Бессмертник песчаный цветки 30г
2025-01-01,478.99153111986504,Бессмертник песчаный цветки 30г
2025-01-02,580.4466729516442,Бессмертник песчаный цветки 30г
2025-01-03,588.6733485327038,Бессмертник песчаный цветки 30г
2025-01-04,591.2606219024929,Бессмертник песчаный цветки 30г
2025-01-05,587.7718264113855,Бессмертник песчаный цветки 30г
2025-01-06,592.2883342844533,Бессмертник песчаный цветки 30г
2025-01-07,590.420211092002,Бессмертник песчаный цветки 30г
2025-01-08,592.0916100022495,Бессмертник песчаный цветки 30г
2025-01-09,589.9579344158367,Бессмертник песчаный цветки 30г
2025-01-10,591.5522099785569,Бессмертник песчаный цветки 30г
2025-01-11,590.2927313172738,Бессмертник песчаный цветки 30г
2025-01-12,589.5614370497801,Бессмертник песчаный цветки 30г
2025-01-13,586.9286386653181,Бессмертник песчаный цветки 30г
2025-01-14,590.9505939396217,Бессмертник песчаный цветки 30г
2025-01-15,589.787784123844,Бессмертник песчаный цветки 30г
2025-01-16,591.1863482098014,Бессмертник песчаный цветки 30г
2025-01-17,589.8052428756365,Бессмертник песчаный цветки 30г
2025-01-18,591.1733668772873,Бессмертник песчаный цветки 30г
2025-01-19,589.9114036403985,Бессмертник песчаный цветки 30г
2025-01-20,591.1313128669749,Бессмертник песчаный цветки 30г
2025-01-21,589.9354107181163,Бессмертник песчаный цветки 30г
2025-01-22,591.0826824534109,Бессмертник песчаный цветки 30г
2025-01-23,589.9777280226828,Бессмертник песчаный цветки 30г
2025-01-24,590.9988778242094,Бессмертник песчаный цветки 30г
2025-01-25,589.9230564281671,Бессмертник песчаный цветки 30г
2025-01-26,591.0038114845096,Бессмертник песчаный цветки 30г
2025-01-27,590.0262560881038,Бессмертник песчаный цветки 30г
2025-01-28,590.9809777840921,Бессмертник песчаный цветки 30г
2025-01-29,590.0547102549071,Бессмертник песчаный цветки 30г
2025-01-30,590.9534922040747,Бессмертник песчаный цветки 30г
2025-01-31,590.0837604888677,Бессмертник песчаный цветки 30г
