ds,forecast,item
2024-12-31,677931.4343144285,"Фп Ромашка цветки 20x1,5г"
2025-01-31,632758.8394275536,"Фп Ромашка цветки 20x1,5г"
2024-12-31,135303.28664974257,"Фп Сб. Бруснивер 20x2,0г"
2025-01-31,129892.01847614232,"Фп Сб. Бруснивер 20x2,0г"
2024-12-31,21938.059529267673,"Фп Сб. Арфазетин-Э 20x2,0г"
2025-01-31,21265.39569467222,"Фп Сб. Арфазетин-Э 20x2,0г"
2024-12-31,11759.968793904129,"Фп Сб. Желудочный №3 20x2,0г"
2025-01-31,11069.411149462785,"Фп Сб. Желудочный №3 20x2,0г"
2024-12-31,275086.5589914072,"Фп Сб. Грудной №4 20x2,0г"
2025-01-31,292433.84339486255,"Фп Сб. Грудной №4 20x2,0г"
2024-12-31,10945.791268910303,"Фп Сб. Проктофитол (Противогеморроидальный сбор) 20х2,0г"
2025-01-31,11307.360283072838,"Фп Сб. Проктофитол (Противогеморроидальный сбор) 20х2,0г"
2024-12-31,45715.580476108196,"Фп Сб. Фитогастрол (Желудочно-кишечный сбор) 20x2,0г"
2025-01-31,44950.015542836714,"Фп Сб. Фитогастрол (Желудочно-кишечный сбор) 20x2,0г"
2024-12-31,116005.57282311982,"Фп Сб. Фитонефрол (Урологический сбор) 20x2,0г"
2025-01-31,118157.79782273724,"Фп Сб. Фитонефрол (Урологический сбор) 20x2,0г"
2024-12-31,46887.8637700572,"Фп Сб. Фитогепатол №3 (Желчегонный сбор №3) 20x2,0г"
2025-01-31,45337.90473979874,"Фп Сб. Фитогепатол №3 (Желчегонный сбор №3) 20x2,0г"
2024-12-31,42400.053389916044,"Фп Сб. Фитоседан №3 (Успокоительный сбор №3) 20х2,0г"
2025-01-31,46792.566137991,"Фп Сб. Фитоседан №3 (Успокоительный сбор №3) 20х2,0г"
2024-12-31,21518.01217731656,"Фп Сб. Фитоседан №2 (Успокоительный сбор №2) 20x2,0г"
2025-01-31,21263.15202888488,"Фп Сб. Фитоседан №2 (Успокоительный сбор №2) 20x2,0г"
2024-12-31,68132.44412537076,"Фп Сенна листья 20x1,5г"
2025-01-31,69569.94555120051,"Фп Сенна листья 20x1,5г"
2024-12-31,16015.48621413972,"Фп Сб. Элекасол 20x2,0г"
2025-01-31,14922.346583096567,"Фп Сб. Элекасол 20x2,0г"
2024-12-31,17238.276028635308,"Фп Толокнянка листья 20x1,5г"
2025-01-31,19750.284079555167,"Фп Толокнянка листья 20x1,5г"
2024-12-31,24177.07162947682,"Фп Тысячелистник трава 20x1,5г"
2025-01-31,19695.078261671504,"Фп Тысячелистник трава 20x1,5г"
2024-12-31,7570.297061200561,"Фп Фиточай ""Лактафитол"" (БАД) 20х1,5 г"
2025-01-31,7615.6331366961185,"Фп Фиточай ""Лактафитол"" (БАД) 20х1,5 г"
2024-12-31,16333.36616266704,"Фп Хвощ полевой трава 20х1,5г"
2025-01-31,18154.23846380417,"Фп Хвощ полевой трава 20х1,5г"
2024-12-31,27451.183034249156,"Фп Чабрец трава 20x1,5 г"
2025-01-31,24970.88274534369,"Фп Чабрец трава 20x1,5 г"
2024-12-31,22309.956122319763,"Фп Череда трава 20х1,5г"
2025-01-31,22229.367530222997,"Фп Череда трава 20х1,5г"
2024-12-31,15191.049512994865,"Фп Чистотел трава 20х1,5г"
2025-01-31,15211.991793204561,"Фп Чистотел трава 20х1,5г"
2024-12-31,1810.2677059104353,"Фп Фиалка трехцветная трава 20x1,5г"
2025-01-31,1705.118599872944,"Фп Фиалка трехцветная трава 20x1,5г"
2024-12-31,22723.640438808463,"Фп Шиповник плоды 20х2,0г"
2025-01-31,21124.30271366683,"Фп Шиповник плоды 20х2,0г"
2024-12-31,16004.077258169018,Чабрец трава 50г
2025-01-31,13597.229933144623,Чабрец трава 50г
2024-12-31,59017.566261691914,"Фп Шалфей листья 20х1,5г"
2025-01-31,60679.38830484889,"Фп Шалфей листья 20х1,5г"
2024-12-31,27204.557301971745,Чага (березовый гриб) 50г
2025-01-31,26957.92578901539,Чага (березовый гриб) 50г
2024-12-31,13353.198525357375,Чистотел трава 50г
2025-01-31,13941.807539363243,Чистотел трава 50г
2024-12-31,8113.459711182809,Череда трава 50г
2025-01-31,8209.901714579475,Череда трава 50г
2024-12-31,22650.232728154708,Шалфей листья 50г
2025-01-31,21590.789098327656,Шалфей листья 50г
2024-12-31,12906.28546389534,Эвкалипт прутовидный листья 75г
2025-01-31,12731.465504688373,Эвкалипт прутовидный листья 75г
2024-12-31,8981.546038300989,Эрва шерстистая трава 30г
2025-01-31,11206.728019730392,Эрва шерстистая трава 30г
2024-12-31,24489.80944732459,Шиповник плоды низковитаминные 50г
2025-01-31,19657.09002378448,Шиповник плоды низковитаминные 50г
